client_id,client_name,property_id,property_title,district,price,structured_score,structured_budget_score,structured_district_score,structured_type_score,structured_bedroom_score,text_score,text_cosine,text_keyword_overlap,text_signal_alignment,shared_text_cues,vision_score,vision_bedroom_alignment,vision_type_alignment,vision_environment_alignment,vision_style_alignment,vision_condition_alignment,fusion_reliability,structured_weight_used,text_weight_used,vision_weight_used,recommendation_reasons,overall_score,recommended_language,explanation,rank
CUSTOMER-1,Test Customer,propmarket-Wbem7ToH5hoGekMnXfujX,3-Bedroom House,Maseru,1300000,0.984,0.96,1.0,1.0,1.0,0.347,0.1966,0.5714,0.48,"[""3 bedrooms"", ""maseru"", ""house"", ""maseru""]",0.8675,1.0,1.0,0.75,0.45,1.0,0.9321,0.4858,0.3155,0.1986,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.7599,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.49, text 0.32, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.98, text 0.35, vision 0.87.",1
CUSTOMER-1,Test Customer,propmarket-T54rOIcncaagQdinoCkYX,3-Bedroom House,Maseru,2500000,0.9455,0.8636,1.0,1.0,1.0,0.2536,0.0917,0.4286,0.48,"[""3 bedrooms"", ""maseru"", ""house""]",0.95,1.0,1.0,0.75,1.0,1.0,0.9274,0.4907,0.2999,0.2094,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the modern style""]",0.7389,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; vision model supports the modern style. Fusion score used structured 0.49, text 0.30, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.95, text 0.25, vision 0.95.",2
CUSTOMER-1,Test Customer,propmarket-cMZbiTkolMW4BED2Igjd2,3-Bedroom House,Maseru,2500000,0.9455,0.8636,1.0,1.0,1.0,0.3223,0.1517,0.5714,0.48,"[""3 bedrooms"", ""maseru"", ""house"", ""maseru""]",0.8675,1.0,1.0,0.75,0.45,1.0,0.9489,0.4776,0.3102,0.2123,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.7356,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.48, text 0.31, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.95, text 0.32, vision 0.87.",3
